,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,no_of_investors,lds,year
0,2017-01-08,TouchKin,Technology,Predictive Care Platform,bangalore,Kae Capital,Private Equity,1300000,1.0,['Kae Capital'],2017
1,2017-02-08,Ethinos,Technology,Digital Marketing Agency,mumbai,Triton Investment Advisors,Private Equity,1070000,1.0,['Triton Investment Advisors'],2017
2,2017-02-08,Leverage,Consumer Internet,Online platform for Higher Education Services,new delhi,"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose",Seed Funding,1070000,7.0,"['Kashyap Deorah', ' Anand Sankeshwar', ' Deepak Jain', ' Sadashiva NT', ' Arjun Mehta', ' Satish Kaul', ' Anindya Ghose']",2017
3,2017-02-08,Zepo,Consumer Internet,DIY Ecommerce platform,mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,500000,4.0,"['Kunal Shah', ' LetsVenture', ' Anupam Mittal', ' Hetal Sonpal']",2017
4,2017-02-08,Click2Clinic,Consumer Internet,healthcare service aggregator,hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,850000,2.0,"['Narottam Thudi', ' Shireesh Palle']",2017
5,2017-01-07,Billion,Consumer Internet,Peer to Peer Lending platform,bangalore,Reliance Corporate Advisory Services Ltd,Seed Funding,1000000,1.0,['Reliance Corporate Advisory Services Ltd'],2017
6,2017-03-07,Ecolibriumenergy,Technology,Energy management solutions provider,ahmedabad,"Infuse Ventures, JLL",Private Equity,2600000,2.0,"['Infuse Ventures', ' JLL']",2017
7,2017-04-07,Droom,eCommerce,Online marketplace for automobiles,gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,20000000,2.0,"['Asset Management (Asia) Ltd', ' Digital Garage Inc']",2017
8,2017-05-07,Jumbotail,eCommerce,online marketplace for food and grocery,bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,8500000,2.0,"['Kalaari Capital', ' Nexus India Capital Advisors']",2017
9,2017-05-07,Moglix,eCommerce,B2B marketplace for Industrial products,noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,12000000,6.0,"['International Finance Corporation', ' Rocketship', ' Accel Partners', ' Jungle Ventures', ' Shailesh Rao', ' Venture Highway']",2017
10,2017-05-07,Timesaverz,Consumer Internet,Hyperlocal home services provider,mumbai,BCCL,Private Equity,1000000,1.0,['BCCL'],2017
11,2017-06-07,Minjar,Technology,Cloud Solutions provider,bangalore,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",Seed Funding,1070000,7.0,"['Blume Ventures', ' Contrarian Capital India Partners', ' Emergent Ventures India', ' Pallav Nadhani', ' Ashish Gupta', ' Sharad Sharma', ' Sirion Labs']",2017
12,2017-06-07,MyCity4kids,Consumer Internet,parenting blog and kids’ events discovery platform,gurgaon,empty,Seed Funding,1070000,,['empty'],2017
13,2017-07-07,Clip,Consumer Internet,Digital Media Video platform,bangalore,"India Quotient, Shunwei Capital",Seed Funding,1000000,2.0,"['India Quotient', ' Shunwei Capital']",2017
14,2017-07-07,Upwardly,Consumer Internet,MF investment platform,bangalore,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",Seed Funding,1070000,4.0,"['Sreeram Iyer', ' Suvo Sarkar', ' Anita Gupta', ' Likemind Ventures']",2017
15,2017-10-07,Autorox,Technology,Workshop Management Software Platform,hyderabad,Mitsui & Co.,Private Equity,3000000,1.0,['Mitsui & Co.'],2017
16,2017-11-07,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,pune,Dunamis Ventures Pte Ltd,Private Equity,2250000,1.0,['Dunamis Ventures Pte Ltd'],2017
17,2017-11-07,Flickstree,Consumer Internet,Video Content Discovery Platform,mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,464000,4.0,"['Venture Catalysts', ' Sourav Ganguly', ' Ankit Aditya', ' Moksh Sports Ventures']",2017
18,2017-11-07,Design,Consumer Internet,Online Interior Design platform,bangalore,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",Seed Funding,1070000,4.0,"['Fireside Ventures', ' Apurva Salarpuria', ' Sidharth Pansari', ' Sprout Capital']",2017
19,2017-12-07,Innoviti,Technology,Digital payments solutions,bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,18500000,3.0,"['SBI-FMO Fund', ' Bessemer Venture Partners', ' Catamaran Ventures']",2017
